time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-24 00:00:00+00:00,18,11,0,0
2026-04-25 00:00:00+00:00,4,3,0,0
2026-04-26 00:00:00+00:00,23,13,0,0
2026-04-27 00:00:00+00:00,4,3,0,0
2026-04-28 00:00:00+00:00,12,7,0,0
2026-04-29 00:00:00+00:00,12,5,0,0
2026-04-30 00:00:00+00:00,15,11,0,0
2026-05-01 00:00:00+00:00,11,7,0,0
2026-05-02 00:00:00+00:00,6,5,0,0
2026-05-03 00:00:00+00:00,15,10,0,0
2026-05-04 00:00:00+00:00,18,14,0,0
2026-05-05 00:00:00+00:00,12,5,0,0
2026-05-06 00:00:00+00:00,10,5,0,0
2026-05-07 00:00:00+00:00,6,5,0,0
