time_iso8601,stars_cumulative
2026-01-17 00:00:00+00:00,1
2026-02-08 00:00:00+00:00,2
2026-03-09 00:00:00+00:00,3
2026-03-11 00:00:00+00:00,4
2026-03-29 00:00:00+00:00,5
2026-04-09 00:00:00+00:00,6
