time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-08 00:00:00+00:00,3,1,3,3
2026-08-09 00:00:00+00:00,5,2,4,3
2026-08-10 00:00:00+00:00,5,3,5,4
2026-08-11 00:00:00+00:00,6,5,8,8
2026-08-12 00:00:00+00:00,14,4,5,4
2026-08-13 00:00:00+00:00,6,5,2,2
2026-08-14 00:00:00+00:00,8,6,7,3
2026-08-15 00:00:00+00:00,4,3,7,3
2026-08-16 00:00:00+00:00,7,5,2,2
2026-08-17 00:00:00+00:00,3,2,3,2
2026-08-18 00:00:00+00:00,5,4,9,5
2026-08-19 00:00:00+00:00,9,8,2,2
2026-08-20 00:00:00+00:00,9,5,29,5
2026-08-21 00:00:00+00:00,11,4,6,6
