time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-18 00:00:00+00:00,7,5,6,5
2026-06-19 00:00:00+00:00,4,2,6,5
2026-06-20 00:00:00+00:00,7,5,6,6
2026-06-21 00:00:00+00:00,3,3,7,7
2026-06-22 00:00:00+00:00,7,5,9,6
2026-06-23 00:00:00+00:00,3,3,4,4
2026-06-24 00:00:00+00:00,6,4,4,3
2026-06-25 00:00:00+00:00,6,5,5,4
2026-06-26 00:00:00+00:00,5,3,6,5
2026-06-27 00:00:00+00:00,1,1,3,3
2026-06-28 00:00:00+00:00,5,2,4,3
2026-06-29 00:00:00+00:00,5,3,5,5
2026-06-30 00:00:00+00:00,3,2,4,4
2026-07-01 00:00:00+00:00,6,4,1,1
