time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-04 00:00:00+00:00,1,1,3,2
2026-06-05 00:00:00+00:00,4,4,6,5
2026-06-06 00:00:00+00:00,21,3,5,5
2026-06-07 00:00:00+00:00,103,3,4,4
2026-06-08 00:00:00+00:00,38,6,5,5
2026-06-09 00:00:00+00:00,33,5,9,7
2026-06-10 00:00:00+00:00,12,7,3,3
2026-06-11 00:00:00+00:00,2,2,0,0
2026-06-12 00:00:00+00:00,7,5,9,8
2026-06-13 00:00:00+00:00,19,5,4,4
2026-06-14 00:00:00+00:00,15,5,3,3
2026-06-15 00:00:00+00:00,24,11,6,3
2026-06-16 00:00:00+00:00,8,6,4,4
2026-06-17 00:00:00+00:00,3,3,7,7
