time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-31 00:00:00+00:00,0,0,2,2
2026-06-01 00:00:00+00:00,5,4,2,2
2026-06-02 00:00:00+00:00,4,3,3,2
2026-06-03 00:00:00+00:00,2,2,4,4
2026-06-04 00:00:00+00:00,1,1,3,2
2026-06-05 00:00:00+00:00,4,4,6,5
2026-06-06 00:00:00+00:00,21,3,5,5
2026-06-07 00:00:00+00:00,103,3,4,4
2026-06-08 00:00:00+00:00,38,6,5,5
2026-06-09 00:00:00+00:00,33,5,9,7
2026-06-10 00:00:00+00:00,12,7,3,3
2026-06-11 00:00:00+00:00,2,2,0,0
2026-06-12 00:00:00+00:00,7,5,9,8
2026-06-13 00:00:00+00:00,19,5,4,4
