time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-25 00:00:00+00:00,5,3,2,2
2026-07-26 00:00:00+00:00,8,7,3,3
2026-07-27 00:00:00+00:00,4,2,2,2
2026-07-28 00:00:00+00:00,3,2,6,5
2026-07-29 00:00:00+00:00,6,4,6,4
2026-07-30 00:00:00+00:00,5,4,6,4
2026-07-31 00:00:00+00:00,4,2,3,1
2026-08-01 00:00:00+00:00,19,8,12,7
2026-08-02 00:00:00+00:00,25,5,4,4
2026-08-03 00:00:00+00:00,4,3,5,3
2026-08-04 00:00:00+00:00,3,1,4,3
2026-08-05 00:00:00+00:00,9,5,7,5
2026-08-06 00:00:00+00:00,5,3,5,5
2026-08-07 00:00:00+00:00,0,0,2,2
