time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-10 00:00:00+00:00,48,17,24,12
2026-09-11 00:00:00+00:00,30,11,19,10
2026-09-12 00:00:00+00:00,17,13,11,8
2026-09-13 00:00:00+00:00,3,3,22,11
2026-09-14 00:00:00+00:00,49,15,16,12
2026-09-15 00:00:00+00:00,12,10,8,7
2026-09-16 00:00:00+00:00,17,10,17,12
2026-09-17 00:00:00+00:00,14,10,23,12
2026-09-18 00:00:00+00:00,17,7,16,6
2026-09-19 00:00:00+00:00,8,6,18,11
2026-09-20 00:00:00+00:00,13,11,20,12
2026-09-21 00:00:00+00:00,50,15,13,11
2026-09-22 00:00:00+00:00,16,12,10,9
2026-09-23 00:00:00+00:00,206,9,5,5
