time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-25 00:00:00+00:00,40,9,14,12
2026-07-26 00:00:00+00:00,267,53,34,33
2026-07-27 00:00:00+00:00,36,13,13,10
2026-07-28 00:00:00+00:00,6,6,15,11
2026-07-29 00:00:00+00:00,11,8,14,10
2026-07-30 00:00:00+00:00,7,7,15,12
2026-07-31 00:00:00+00:00,12,8,12,9
2026-08-01 00:00:00+00:00,6,6,16,15
2026-08-02 00:00:00+00:00,24,13,18,12
2026-08-03 00:00:00+00:00,85,20,20,15
2026-08-04 00:00:00+00:00,82,15,49,45
2026-08-05 00:00:00+00:00,41,9,43,31
2026-08-06 00:00:00+00:00,12,8,15,14
2026-08-07 00:00:00+00:00,9,6,25,19
