time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-08 00:00:00+00:00,4,3,24,18
2026-07-09 00:00:00+00:00,18,9,59,27
2026-07-10 00:00:00+00:00,32,18,49,30
2026-07-11 00:00:00+00:00,144,37,19,14
2026-07-12 00:00:00+00:00,22,8,33,20
2026-07-13 00:00:00+00:00,170,27,9,8
2026-07-14 00:00:00+00:00,14,10,41,31
2026-07-15 00:00:00+00:00,11,5,11,7
2026-07-16 00:00:00+00:00,18,7,14,14
2026-07-17 00:00:00+00:00,19,8,13,12
2026-07-18 00:00:00+00:00,16,5,14,6
2026-07-19 00:00:00+00:00,17,6,11,6
2026-07-20 00:00:00+00:00,75,21,16,11
2026-07-21 00:00:00+00:00,26,8,9,8
