time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-01 00:00:00+00:00,93,3,10,10
2026-04-02 00:00:00+00:00,7,7,10,8
2026-04-03 00:00:00+00:00,105,5,17,17
2026-04-04 00:00:00+00:00,3,3,5,4
2026-04-05 00:00:00+00:00,3,3,11,9
2026-04-06 00:00:00+00:00,2,2,13,12
2026-04-07 00:00:00+00:00,13,6,14,10
2026-04-08 00:00:00+00:00,129,5,4,4
2026-04-09 00:00:00+00:00,4,4,2,2
2026-04-10 00:00:00+00:00,4,3,11,6
2026-04-11 00:00:00+00:00,9,5,7,7
2026-04-12 00:00:00+00:00,6,4,11,6
2026-04-13 00:00:00+00:00,5,4,11,11
2026-04-14 00:00:00+00:00,4,3,4,3
