time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-17 00:00:00+00:00,65,22,9,9
2026-03-18 00:00:00+00:00,8,8,34,8
2026-03-19 00:00:00+00:00,4,4,8,7
2026-03-20 00:00:00+00:00,5,5,13,12
2026-03-21 00:00:00+00:00,8,3,10,10
2026-03-22 00:00:00+00:00,1,1,7,7
2026-03-23 00:00:00+00:00,1,1,21,4
2026-03-24 00:00:00+00:00,2,2,5,5
2026-03-25 00:00:00+00:00,3,2,12,10
2026-03-26 00:00:00+00:00,25,2,3,3
2026-03-27 00:00:00+00:00,10,6,5,2
2026-03-28 00:00:00+00:00,2,1,7,7
2026-03-29 00:00:00+00:00,7,6,2,2
2026-03-30 00:00:00+00:00,68,23,8,7
