time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-18 00:00:00+00:00,16,5,14,6
2026-07-19 00:00:00+00:00,17,6,11,6
2026-07-20 00:00:00+00:00,75,21,16,11
2026-07-21 00:00:00+00:00,26,8,9,8
2026-07-22 00:00:00+00:00,38,11,11,9
2026-07-23 00:00:00+00:00,25,16,16,12
2026-07-24 00:00:00+00:00,87,12,11,8
2026-07-25 00:00:00+00:00,40,9,14,12
2026-07-26 00:00:00+00:00,267,53,34,33
2026-07-27 00:00:00+00:00,36,13,13,10
2026-07-28 00:00:00+00:00,6,6,15,11
2026-07-29 00:00:00+00:00,11,8,14,10
2026-07-30 00:00:00+00:00,7,7,15,12
2026-07-31 00:00:00+00:00,12,8,12,9
