time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-27 00:00:00+00:00,35,14,24,15
2026-08-28 00:00:00+00:00,10,7,23,15
2026-08-29 00:00:00+00:00,629,9,17,6
2026-08-30 00:00:00+00:00,321,10,19,8
2026-08-31 00:00:00+00:00,47,12,15,7
2026-09-01 00:00:00+00:00,9,6,16,9
2026-09-02 00:00:00+00:00,12,7,14,7
2026-09-03 00:00:00+00:00,90,23,20,11
2026-09-04 00:00:00+00:00,19,14,35,13
2026-09-05 00:00:00+00:00,394,62,42,10
2026-09-06 00:00:00+00:00,63,18,19,13
2026-09-07 00:00:00+00:00,110,33,12,6
2026-09-08 00:00:00+00:00,70,13,18,10
2026-09-09 00:00:00+00:00,18,11,16,9
